name,response
Remote Desktop Network Traffic,"SEARCH network connection telemetry (e.g., flow/session logs) with fields: timestamp, src, src_ip, src_port, dest, dest_ip, dest_port, action, device (dvc), vendor_product, src_category, dest_category
| FILTER records where dest_port equals 3389
| FILTER records where action equals ""allowed""
| FILTER records where dest_category is not ""common_rdp_destination"" (exclude known/common RDP server destinations)
| FILTER records where src_category is not ""common_rdp_source"" (exclude known/common RDP client sources)
| GROUP records BY src, src_ip, src_port, dest, dest_ip, dest_port, device, vendor_product
| COMPUTE for each group: event_count = number of records, firstTime = minimum timestamp, lastTime = maximum timestamp
| FORMAT firstTime and lastTime as human-readable timestamps
| APPLY environment-specific allowlist/suppression rules to exclude additional known-benign src/dest pairs or devices (optional)
| OUTPUT src, src_ip, src_port, dest, dest_ip, dest_port, device, vendor_product, event_count, firstTime, lastTime"
DNS Query Length With High Standard Deviation,
Cisco Secure Firewall - Snort Rule Triggered Across Multiple Hosts,"SEARCH Cisco Secure Firewall Threat Defense Intrusion Event logs | FILTER events where event_type equals ""IntrusionEvent"" | DERIVE time_window_hour by rounding each event timestamp down to the nearest 1-hour boundary | GROUP records BY time_window_hour, signature_id, signature, class_desc, MitreAttackGroups, InlineResult, InlineResultReason AGGREGATE unique_src_ips = count_distinct(src_ip), src_ip_list = list_unique(src_ip), dest_list = list_unique(dest), dest_port_list = list_unique(dest_port), rule_list = list_unique(rule), transport_list = list_unique(transport), app_list = list_unique(app), firstTime = min(timestamp), lastTime = max(timestamp) | FILTER groups where unique_src_ips is greater than or equal to 10 | DERIVE firstTime_readable = human_readable(firstTime), lastTime_readable = human_readable(lastTime) | OUTPUT time_window_hour, signature_id, signature, class_desc, MitreAttackGroups, InlineResult, InlineResultReason, unique_src_ips, src_ip_list, dest_list, dest_port_list, rule_list, transport_list, app_list, firstTime, firstTime_readable, lastTime, lastTime_readable"
Cisco Secure Firewall - High EVE Threat Confidence,"SEARCH data from ""Cisco Secure Firewall Threat Defense Connection Event"" logs
| PARSE each event to extract fields: EventType, EVE_ThreatConfidencePct, _time, rule, url, EVE_Process, src_ip, dest, dest_port, transport, action
| FILTER events where EventType equals ""ConnectionEvent""
| FILTER events where EVE_ThreatConfidencePct is greater than or equal to 80
| AGGREGATE events by EVE_Process, EVE_ThreatConfidencePct, src_ip, dest, dest_port, transport, action; compute:
  - event_count = total number of events in the group
  - firstTime = earliest _time in the group
  - lastTime = latest _time in the group
  - rules = distinct set of rule values in the group
  - urls = distinct set of url values in the group
| DERIVE firstTime_readable and lastTime_readable as human-readable timestamps from firstTime and lastTime
| APPLY optional environment-specific suppression filters (e.g., allowlisted hosts, trusted destinations, benign rules/URLs) if defined
| OUTPUT grouped keys, EVE_ThreatConfidencePct, event_count, firstTime, lastTime, firstTime_readable, lastTime_readable, rules, urls"
Detect Unauthorized Assets by MAC address,
Detect suspicious DNS TXT records using pretrained model in DSDL,"SEARCH DNS resolution logs within the desired time range
| FILTER records where message_type equals ""response"" AND record_type equals ""TXT""
| GROUP records BY src, dest, answer, record_type; COMPUTE firstTime = earliest event_time, lastTime = latest event_time
| DERIVE text = answer
| APPLY pretrained deep learning model for DNS TXT classification on field text; OUTPUT field predicted_is_unknown as a numeric score
| DERIVE is_suspicious_score = predicted_is_unknown
| FILTER records where is_suspicious_score > 0.5
| FORMAT firstTime and lastTime as human-readable timestamps
| OUTPUT columns src, dest, text, record_type, firstTime, lastTime, is_suspicious_score"
Cisco Secure Firewall - Lumma Stealer Download Attempt,"SEARCH data from Cisco Secure Firewall Threat Defense Intrusion Event logs
| FILTER events where EventType equals ""IntrusionEvent""
| FILTER events where signature_id is in {62710, 62711, 62712, 62713, 62714, 62715, 62716, 62717, 64810, 64811}
| FILL_NULLS for fields [src_ip, dest_ip, dest_port, transport, signature_id, signature, class_desc, MitreAttackGroups, rule, InlineResult, InlineResultReason, app]
| AGGREGATE events BY [src_ip, dest_ip, dest_port, transport, signature_id, signature, class_desc, MitreAttackGroups, rule, InlineResult, InlineResultReason, app] COMPUTE earliest event_time as firstTime, latest event_time as lastTime
| DERIVE human_readable_firstTime from firstTime and human_readable_lastTime from lastTime
| APPLY environment-specific exclusion filters to remove known benign sources, destinations, signatures, applications, or results
| OUTPUT [firstTime, lastTime, human_readable_firstTime, human_readable_lastTime, src_ip, dest_ip, dest_port, transport, signature_id, signature, class_desc, MitreAttackGroups, rule, InlineResult, InlineResultReason, app]"
Internal Vulnerability Scan,
Detect Outbound SMB Traffic,
Detect Outbound LDAP Traffic,
Zeek x509 Certificate with Punycode,"SEARCH Zeek x509 certificate log events
| PARSE from each value in san.email the substring that appears after ""@"" and begins with ""xn--"" and collect as domain_detected (multiple per event allowed)
| PARSE from each value in san.other_fields the substring that appears after ""@"" and begins with ""xn--"" and collect as domain_detected (append to existing collection)
| FILTER keep only events where domain_detected is present and not empty
| GROUP events by basic_constraints.ca, source, host
| AGGREGATE the unique set of domain_detected per group as detected_punycode_domains
| OUTPUT fields basic_constraints.ca, source, host, detected_punycode_domains"
Cisco Secure Firewall - Possibly Compromised Host,"SEARCH data from Cisco Secure Firewall Threat Defense Intrusion Event logs
| PARSE records to extract fields: EventType, Impact, event_time, src_ip, dest, dest_port, transport, app, impact_desc, class_desc, MitreAttackGroups, InlineResult, InlineResultReason, signature_id, signature, rule
| FILTER records where EventType equals ""IntrusionEvent""
| FILTER records where Impact is in {1, 2}
| GROUP records BY src_ip, dest, dest_port, transport, Impact, app, impact_desc, class_desc, MitreAttackGroups, InlineResult, InlineResultReason
| COMPUTE for each group: TotalDetections = count(records); signature_id = distinct list of signature_id; signature = distinct list of signature; rule = distinct list of rule; firstTime = minimum(event_time); lastTime = maximum(event_time)
| DERIVE human_readable_firstTime from firstTime using timestamp-to-string conversion
| DERIVE human_readable_lastTime from lastTime using timestamp-to-string conversion
| APPLY environment-specific suppression or allowlist filters if available
| OUTPUT fields: src_ip, dest, dest_port, transport, Impact, app, impact_desc, class_desc, MitreAttackGroups, InlineResult, InlineResultReason, TotalDetections, signature_id, signature, rule, firstTime, lastTime, human_readable_firstTime, human_readable_lastTime"
Cisco Secure Firewall - Veeam CVE-2023-27532 Exploitation Activity,"SEARCH Cisco Secure Firewall Threat Defense IntrusionEvent logs over the desired time range
| FILTER records where EventType equals ""IntrusionEvent"" AND signature_id is either 61514 or 64795
| DERIVE time_bucket as event timestamp rounded down to 5-minute intervals
| FILL missing field values with null to prevent null-related aggregation issues
| GROUP records by dest_ip
| COMPUTE for each dest_ip:
  - unique_signature_count = count of distinct signature_id
  - signature_id_list = list of observed signature_id values
  - signature_list = list of observed signature (rule name) values
  - class_desc_list = list of observed class_desc values
  - mitre_attack_groups_list = list of observed MitreAttackGroups values
  - inline_result_list = list of observed InlineResult values
  - inline_result_reason_list = list of observed InlineResultReason values
  - src_ip_list = list of observed src_ip values
  - dest_port_list = list of observed dest_port values
  - rule_list = list of observed rule values
  - transport_list = list of observed transport values
  - app_list = list of observed app values
  - firstTime = minimum event timestamp
  - lastTime = maximum event timestamp
| FILTER groups where unique_signature_count equals 2
| FORMAT firstTime and lastTime as human-readable timestamps
| OUTPUT dest_ip, unique_signature_count, signature_id_list, signature_list, class_desc_list, mitre_attack_groups_list, inline_result_list, inline_result_reason_list, src_ip_list, dest_port_list, rule_list, transport_list, app_list, firstTime, lastTime"
Detect Windows DNS SIGRed via Zeek,
Cisco Secure Firewall - Communication Over Suspicious Ports,"SEARCH Cisco Secure Firewall Threat Defense Connection Event logs over the desired time range
| FILTER records where EventType equals ""ConnectionEvent""
| FILTER records where dest_port is in [888, 999, 2200, 2222, 4000, 4444, 6789, 8531, 50501, 51820]
| FILL missing url with ""unknown""
| GROUP records by src_ip, dest, dest_port, transport, action
| COMPUTE count of records per group
| COMPUTE earliest event timestamp in group as firstTime
| COMPUTE latest event timestamp in group as lastTime
| COMPUTE unique list of src_port values in group as src_port
| COMPUTE unique list of url values in group as url
| COMPUTE unique list of rule values in group as rule
| DERIVE firstTimeReadable by formatting firstTime to a human-readable timestamp
| DERIVE lastTimeReadable by formatting lastTime to a human-readable timestamp
| APPLY optional environment-specific suppression or allow-list filters to exclude known benign combinations
| OUTPUT firstTime, lastTime, firstTimeReadable, lastTimeReadable, src_ip, dest, dest_port, transport, action, src_port, url, rule, count"
Detect hosts connecting to dynamic domain providers,
Cisco Secure Firewall - High Priority Intrusion Classification,"SEARCH records from data source ""Cisco Secure Firewall Threat Defense Intrusion Event""
| FILTER where EventType equals ""IntrusionEvent""
| FILTER where class_desc is one of:
  - ""A Network Trojan was Detected""
  - ""Successful Administrator Privilege Gain""
  - ""Successful User Privilege Gain""
  - ""Attempt to Login By a Default Username and Password""
  - ""Known malware command and control traffic""
  - ""Known malicious file or file based exploit""
  - ""Known client side exploit attempt""
  - ""Large Scale Information Leak""
| FILLNULL replace missing values in fields [signature_id, MitreAttackGroups, InlineResult, InlineResultReason, dest_port, rule, transport, app, src_ip, dest_ip, signature, class_desc] with an empty value
| GROUP records BY src_ip, dest_ip, signature, class_desc
| AGGREGATE per group:
  - COUNT events as count
  - MIN timestamp as firstTime
  - MAX timestamp as lastTime
  - DISTINCT_LIST of signature_id as signature_id
  - DISTINCT_LIST of MitreAttackGroups as MitreAttackGroups
  - DISTINCT_LIST of InlineResult as InlineResult
  - DISTINCT_LIST of InlineResultReason as InlineResultReason
  - DISTINCT_LIST of dest_port as dest_port
  - DISTINCT_LIST of rule as rule
  - DISTINCT_LIST of transport as transport
  - DISTINCT_LIST of app as app
| FORMAT firstTime and lastTime as human-readable timestamps
| OUTPUT fields [src_ip, dest_ip, signature, class_desc, count, firstTime, lastTime, signature_id, MitreAttackGroups, InlineResult, InlineResultReason, dest_port, rule, transport, app]"
Cisco Secure Firewall - Binary File Type Download,"SEARCH events from Cisco Secure Firewall Threat Defense File Event
| FILTER EventType equals ""FileEvent""
| FILTER FileDirection equals ""Download""
| FILTER FileType is one of [""ISHIELD_MSI"",""BINHEX"",""BINARY_DATA"",""ELF"",""MACHO"",""JARPACK"",""TORRENT"",""AUTORUN"",""EICAR"",""LNK"",""SCR"",""UNIX_SCRIPT""]
| APPLY LOOKUP using reference dataset ""cisco_secure_firewall_filetype_lookup"" to map Name to Description, matching events where FileType equals Name, and append Description to each matching event
| GROUP events BY FileDirection, FileType, src_ip, dest, app, file_name, ThreatName, dest_port, Description
| COMPUTE within each group: total event count as count; earliest event timestamp as firstTime; latest event timestamp as lastTime; distinct list of uri as uri; distinct list of ClientApplication as ClientApplication; distinct list of file_hash as file_hash; distinct list of SHA_Disposition as SHA_Disposition
| DERIVE firstTime and lastTime into human-readable timestamp strings
| FORMAT results to include only: firstTime, lastTime, src_ip, dest, dest_port, FileDirection, FileType, Description, uri, file_name, file_hash, app, ClientApplication, SHA_Disposition, ThreatName
| APPLY optional environment-specific filters to reduce noise or exclude known benign activity
| OUTPUT results"
Cisco Secure Firewall - Blacklisted SSL Certificate Fingerprint,"SEARCH Cisco Secure Firewall Threat Defense Connection Event records
| FILTER records where EventType exists AND SSL_CertFingerprint exists
| APPLY LOOKUP using sslbl_ssl_certificate_blacklist on key mapping SSL_CertFingerprint -> SHA1 to append fields Listingdate, Listingreason
| FILTER records where Listingreason exists (indicating a blacklisted SSL certificate fingerprint match)
| GROUP records BY SSL_CertFingerprint, src_ip, transport, action COMPUTE
  - firstTime = MIN(event timestamp)
  - lastTime = MAX(event timestamp)
  - dest = UNIQUE_VALUES(dest)
  - dest_port = UNIQUE_VALUES(dest_port)
  - rule = UNIQUE"
Windows Multi hop Proxy TOR Website Query,"SEARCH endpoint DNS query events with event identifier 22
| FILTER records where QueryName equals ""www.theonionrouter.com"" OR QueryName matches any subdomain of ""torproject.org""
| GROUP BY answer, answer_count, dvc, process_exec, process_guid, process_name, query, query_count, reply_code_id, signature, signature_id, src, user_id, vendor_product, QueryName, QueryResults, QueryStatus
| DERIVE total_events = count(), firstTime = earliest(event_time), lastTime = latest(event_time)
| FORMAT firstTime and lastTime as human-readable timestamps
| APPLY allowlist to exclude known benign devices, users, processes, or domains if available
| OUTPUT the grouped fields along with total_events, firstTime, and lastTime"
Cisco Secure Firewall - Wget or Curl Download,"SEARCH events from Cisco Secure Firewall Threat Defense Connection Event logs
| FILTER where EventType equals ""ConnectionEvent""
| FILTER where action is one of [""Trust"", ""Allow"", ""allowed""]
| FILTER where (EVE_Process contains ""curl"" OR EVE_Process contains ""wget"" OR ClientApplication equals ""cURL"" OR ClientApplication equals ""Wget"")
| GROUP records BY src_ip, dest, transport, EVE_Process, ClientApplication, action
| AGGREGATE within each group: count events as count; compute minimum event timestamp as firstTime; compute maximum event timestamp as lastTime; collect distinct values of rule as rule; collect distinct values of url as url; collect distinct values of dest_port as dest_port; collect distinct values of ClientApplicationVersion as ClientApplicationVersion; collect distinct values of src_port as src_port
| SELECT src_ip, src_port, dest, dest_port, transport, url, EVE_Process, ClientApplication, ClientApplicationVersion, rule, firstTime, lastTime
| DERIVE human-readable timestamps from firstTime and lastTime as firstTime_readable and lastTime_readable
| OUTPUT the selected fields and derived timestamps"
F5 BIG-IP iControl REST Vulnerability CVE-2022-1388,"SEARCH web/HTTP request logs over the desired time range from network/security devices that record URL, method, user agent, source, and destination | FILTER events where http_method equals ""POST"" | FILTER events where url contains the path segment ""/mgmt/tm/util/bash"" | DERIVE url_length as the character length of url if not already present | GROUP events BY http_user_agent, http_method, url, url_length, src_ip, dest_ip | COMPUTE event_count as the number of events per group, first_seen as the minimum event timestamp per group, last_seen as the maximum event timestamp per group | FORMAT first_seen and last_seen as human-readable timestamps | APPLY environment-specific suppression rules to exclude known benign sources or patterns (optional) | SORT groups by event_count descending (optional) | OUTPUT src_ip, dest_ip, http_method, url, url_length, http_user_agent, event_count, first_seen, last_seen"
Windows Gather Victim Network Info Through Ip Check Web Services,"SEARCH records from Windows endpoint DNS query telemetry (e.g., Sysmon DNS events) where event_code equals 22
| FILTER records where field QueryName matches any of the following domain patterns: ""*wtfismyip.com"", ""*checkip.*"", ""*ipecho.net"", ""*ipinfo.io"", ""*api.ipify.org"", ""*icanhazip.com"", ""*ip.anysrc.com"
Windows AD Rogue Domain Controller Network Activity,"SEARCH Zeek RPC telemetry for events within the desired time range
| FILTER events where operation equals ""DrsReplicaAdd"" OR operation equals ""DRSGetNCChanges""
| FILTER events where (dest_category is not ""Domain Controller"") OR (src_category is not ""Domain Controller"")
| DERIVE src_category = ""Unknown"" if src_category is null or empty; dest_category = ""Unknown"" if dest_category is null or empty
| SELECT time, endpoint, operation, src, src_category, dest, dest_category
| APPLY environment-specific allowlists or suppression rules for known benign sources, destinations, or operations
| OUTPUT the remaining events in the selected field order"
Detect Traffic Mirroring,"SEARCH Cisco network device logs
| PARSE fields: timestamp, host, facility, mnemonic, command
| FILTER where (
    (facility == ""MIRROR"" AND mnemonic == ""ETH_SPAN_SESSION_UP"")
    OR (facility == ""SPAN"" AND mnemonic == ""SESSION_UP"")
    OR (facility == ""SPAN"" AND mnemonic == ""PKTCAP_START"")
    OR (mnemonic == ""CFGLOG_LOGGEDCMD"" AND command STARTS_WITH ""monitor session"")
  )
| GROUP BY host, facility, mnemonic
| COMPUTE firstTime = MIN(timestamp), lastTime = MAX(timestamp), count = COUNT()
| FORMAT firstTime, lastTime as human-readable timestamps
| APPLY environment-specific allowlist/exclusion rules (e.g., known benign hosts or maintenance activities)
| OUTPUT host, facility, mnemonic, firstTime, lastTime, count"
Detect Rogue DHCP Server,"SEARCH network device logs that include DHCP snooping events |
PARSE fields: event_time, host, facility, mnemonic, message_type, src_mac |
FILTER facility equals ""DHCP_SNOOPING"" |
FILTER mnemonic equals ""DHCP_SNOOPING_UNTRUSTED_PORT"" |
GROUP BY host |
COMPUTE firstTime = minimum(event_time), lastTime = maximum(event_time), event_count = count(), message_types = distinct values of message_type, src_macs = distinct values of src_mac |
DERIVE firstTime_readable = human-readable timestamp from firstTime, lastTime_readable = human-readable timestamp from lastTime |
APPLY optional suppression based on organization-defined allowlists for hosts or source MAC addresses |
OUTPUT host, firstTime, lastTime, firstTime_readable, lastTime_readable, event_count, message_types, src_macs"
Cisco Secure Firewall - Citrix NetScaler Memory Overread Attempt,"SEARCH data from ""Cisco Secure Firewall Threat Defense Intrusion Event""
| FILTER records where EventType equals ""IntrusionEvent""
| FILTER records where signature_id equals 65118
| FILL_MISSING for fields [signature_id, signature, class_desc, MitreAttackGroups, InlineResult, InlineResultReason, src_ip, dest_ip, dest_port, rule, transport, app] with a consistent placeholder
| AGGREGATE BY dest_ip:
  - COMPUTE firstTime = MIN(event_time)
  - COMPUTE lastTime = MAX(event_time)
  - COMPUTE signature_id_set = DISTINCT(signature_id)
  - COMPUTE signature_set = DISTINCT(signature)
  - COMPUTE class_desc_set = DISTINCT(class_desc)
  - COMPUTE mitre_attack_groups_set = DISTINCT(MitreAttackGroups)
  - COMPUTE inline_result_set = DISTINCT(InlineResult)
  - COMPUTE inline_result_reason_set = DISTINCT(InlineResultReason)
  - COMPUTE src_ip_set = DISTINCT(src_ip)
  - COMPUTE dest_port_set = DISTINCT(dest_port)
  - COMPUTE rule_set = DISTINCT(rule)
  - COMPUTE transport_set = DISTINCT(transport)
  - COMPUTE app_set = DISTINCT(app)
| DERIVE firstTime_readable = CONVERT_TIME(firstTime)
| DERIVE lastTime_readable = CONVERT_TIME(lastTime)
| OUTPUT fields [dest_ip, firstTime, lastTime, firstTime_readable, lastTime_readable, signature_id_set, signature_set, class_desc_set, mitre_attack_groups_set, inline_result_set, inline_result_reason_set, src_ip_set, dest_port_set, rule_set, transport_set, app_set]"
Cisco Secure Firewall - Intrusion Events by Threat Activity,
Cisco Secure Firewall - Remote Access Software Usage Traffic,"SEARCH Cisco Secure Firewall Threat Defense Connection Event records | FILTER records where EventType equals ""ConnectionEvent"" | GROUP records by src_ip, ClientApplication, action | COMPUTE for each group: firstTime = minimum event time; lastTime = maximum event time; count = number of records; dest_port = unique set of destination ports; dest = unique set of destination IPs/hosts; transport = unique set of transport protocols; url = unique set of URLs; rule = unique set of policy/rule identifiers | DERIVE human-readable timestamps from firstTime and lastTime | ENRICH each group by matching ClientApplication to a reference dataset of remote management/desktop tools (fields added: category, Description) | FILTER groups where category is one of [""remote administration"", ""remote desktop control""] | APPLY exception/allowlist filters to remove known authorized remote access usage | APPLY any additional environment-specific filters for this detection | OUTPUT firstTime, lastTime, src_ip, ClientApplication, action, count, dest_port, dest, transport, url, rule, category, Description"
Windows AD Replication Service Traffic,"SEARCH network traffic logs with fields: source, destination, application_name, transport_protocol, user_identity, source_category, destination_category, timestamp |
FILTER records where application_name equals ""ms-dc-replication"" OR application_name contains ""drsr"" OR application_name equals ""ad drs"" |
GROUP records by source, destination, application_name |
AGGREGATE per group: COUNT events as event_count, COLLECT DISTINCT transport_protocol as transport_set, COLLECT DISTINCT user_identity as user_set, COLLECT DISTINCT source_category as src_category_set, COLLECT DISTINCT destination_category as dest_category_set, MIN timestamp as firstTime, MAX timestamp as lastTime |
DERIVE firstTimeReadable and lastTimeReadable by converting firstTime and lastTime to human-readable timestamps |
TRANSFORM field names to remove any dataset-specific prefixes if present |
APPLY environment-specific exclusions to suppress known-good or expected AD replication (e.g., domain controller to domain controller pairs, approved sources) |
OUTPUT source, destination, application_name, event_count, transport_set, user_set, src_category_set, dest_category_set, firstTime, firstTimeReadable, lastTime, lastTimeReadable"
Detect IPv6 Network Infrastructure Threats,
Windows DNS Query Request by Telegram Bot API,"SEARCH endpoint DNS query telemetry events where event_id equals 22 (DNS query events) | PARSE fields needed for analysis: event_time, query, process_name, process_exec, process_guid, answer, answer_count, query_count, reply_code_id, device (dvc), source (src), user_id, vendor_product, signature, signature_id, QueryName, QueryResults, QueryStatus | FILTER records where query equals ""api.telegram.org"" | FILTER records where process_name does not equal ""telegram.exe"" | GROUP records by answer, answer_count, device (dvc), process_exec, process_guid, process_name, query, query_count, reply_code_id, signature, signature_id, source (src), user_id, vendor_product, QueryName, QueryResults, QueryStatus | DERIVE metrics: total_events as count of records, first_time as minimum event_time, last_time as maximum event_time per group | FORMAT first_time and last_time into human-readable timestamps | APPLY optional environment-specific suppressions to exclude known benign hosts, users, or processes | OUTPUT first_time, last_time, total_events, and all grouping fields for each group"
